flow_id,timestamp,src_site,dst_site,src_ip,dst_ip,src_port,dst_port,protocol,application,bytes,packets,duration_ms,dscp,fault_active
NF-0000052,2026-06-24T01:44:00,branch-bengaluru,branch-guwahati,10.1.1.1,10.1.8.1,55904,8801,UDP,Video-Conf,22595082,18735,50850,AF41,0
NF-0000053,2026-06-24T01:27:00,branch-bhubaneswar,branch-lucknow,10.1.7.1,10.1.11.1,56673,8801,UDP,Video-Conf,11080306,14079,69736,AF41,0
NF-0000054,2026-06-24T01:36:00,branch-pune,branch-bhopal,10.1.4.1,10.1.14.1,57180,3200,TCP,ERP-SAP,7638376,18100,33523,CS0,0
NF-0000055,2026-06-24T01:38:00,branch-chandigarh,branch-jaipur,10.1.9.1,10.1.10.1,60420,5060,UDP,VoIP-RTP,14376784,10736,11351,EF,0
NF-0000056,2026-06-24T01:00:00,branch-chennai,branch-jaipur,10.1.2.1,10.1.10.1,62942,179,TCP,BGP,8630868,11065,59985,CS0,0
NF-0000057,2026-06-24T01:05:00,branch-bhubaneswar,branch-chandigarh,10.1.7.1,10.1.9.1,63345,514,UDP,Syslog,32640165,33511,62849,CS0,0
NF-0000058,2026-06-24T01:02:00,branch-ahmedabad,dc-mumbai,10.1.5.1,10.0.0.2,52897,5060,UDP,VoIP-RTP,4277946,3789,31140,EF,0
NF-0000059,2026-06-24T01:46:00,branch-jaipur,branch-hyderabad,10.1.10.1,10.1.3.1,65022,22,TCP,SSH,29815412,59275,95587,CS0,0
NF-0000060,2026-06-24T01:55:00,branch-pune,dc-mumbai,10.1.4.1,10.0.0.2,64078,161,UDP,SNMP,41721266,31824,60134,CS0,0
NF-0000061,2026-06-24T01:34:00,branch-kochi,branch-lucknow,10.1.12.1,10.1.11.1,54825,123,UDP,NTP,28613509,27592,81796,CS0,0
NF-0000062,2026-06-24T01:26:00,branch-guwahati,branch-bhubaneswar,10.1.8.1,10.1.7.1,59942,161,UDP,SNMP,26625695,51007,79780,CS0,0
NF-0000063,2026-06-24T01:05:00,branch-ahmedabad,hub-delhi,10.1.5.1,10.0.0.1,62557,443,TCP,HTTPS,29453706,30427,71797,CS0,0
NF-0000064,2026-06-24T01:34:00,branch-ahmedabad,branch-chennai,10.1.5.1,10.1.2.1,64194,179,TCP,BGP,2418147,2247,116471,CS0,0
NF-0000065,2026-06-24T01:03:00,branch-pune,branch-bengaluru,10.1.4.1,10.1.1.1,49397,5060,UDP,VoIP-RTP,26394426,19251,89320,EF,0
NF-0000066,2026-06-24T01:05:00,hub-delhi,branch-chandigarh,10.0.0.1,10.1.9.1,60493,443,TCP,HTTPS,35877478,44513,68761,CS0,0
NF-0000067,2026-06-24T01:10:00,dc-mumbai,branch-kolkata,10.0.0.2,10.1.6.1,61884,53,UDP,DNS,18736400,16684,23103,CS0,0
NF-0000068,2026-06-24T01:52:00,branch-bhopal,branch-pune,10.1.14.1,10.1.4.1,62317,123,UDP,NTP,4087646,2968,73946,CS0,0
NF-0000069,2026-06-24T01:55:00,branch-guwahati,branch-jaipur,10.1.8.1,10.1.10.1,54089,53,UDP,DNS,39600485,54848,92617,CS0,0
NF-0000070,2026-06-24T01:43:00,branch-lucknow,branch-nagpur,10.1.11.1,10.1.13.1,59029,53,UDP,DNS,46786991,40438,95975,CS0,0
NF-0000071,2026-06-24T01:17:00,branch-bhubaneswar,branch-pune,10.1.7.1,10.1.4.1,52203,161,UDP,SNMP,45119978,85454,35999,CS0,0
NF-0000072,2026-06-24T01:45:00,branch-ahmedabad,branch-chennai,10.1.5.1,10.1.2.1,55202,123,UDP,NTP,15618011,22602,20203,CS0,0
NF-0000073,2026-06-24T01:12:00,branch-lucknow,branch-guwahati,10.1.11.1,10.1.8.1,49250,3200,TCP,ERP-SAP,6388766,9126,102882,CS0,0
NF-0000074,2026-06-24T01:30:00,branch-bhubaneswar,branch-kolkata,10.1.7.1,10.1.6.1,53719,53,UDP,DNS,34544440,49349,17536,CS0,0
NF-0000075,2026-06-24T01:33:00,branch-guwahati,branch-pune,10.1.8.1,10.1.4.1,63616,5060,UDP,VoIP-RTP,18559498,21783,51154,EF,0
NF-0000076,2026-06-24T01:45:00,branch-bhopal,branch-guwahati,10.1.14.1,10.1.8.1,62117,514,UDP,Syslog,29088650,26735,12309,CS0,0
NF-0000077,2026-06-24T01:50:00,branch-hyderabad,branch-bengaluru,10.1.3.1,10.1.1.1,58282,514,UDP,Syslog,24377590,31659,104586,CS0,0
NF-0000078,2026-06-24T01:44:00,branch-nagpur,branch-chandigarh,10.1.13.1,10.1.9.1,52679,8801,UDP,Video-Conf,28526001,32526,26164,AF41,0
NF-0000079,2026-06-24T01:29:00,branch-bhubaneswar,branch-bhopal,10.1.7.1,10.1.14.1,57214,179,TCP,BGP,46681714,72374,5297,CS0,0
NF-0000080,2026-06-24T01:49:00,branch-jaipur,dc-mumbai,10.1.10.1,10.0.0.2,56649,514,UDP,Syslog,11829233,12412,103921,CS0,0
NF-0000081,2026-06-24T01:29:00,branch-bengaluru,branch-lucknow,10.1.1.1,10.1.11.1,61160,21,TCP,FTP-Backup,11917819,9736,53662,CS0,0
NF-0000082,2026-06-24T01:30:00,branch-bengaluru,branch-guwahati,10.1.1.1,10.1.8.1,57782,179,TCP,BGP,38839622,33482,101497,CS0,0
NF-0000083,2026-06-24T01:25:00,branch-hyderabad,branch-kochi,10.1.3.1,10.1.12.1,59410,389,TCP,LDAP,4671163,3928,48468,CS0,0
NF-0000084,2026-06-24T01:25:00,branch-hyderabad,branch-bengaluru,10.1.3.1,10.1.1.1,51596,5060,UDP,VoIP-RTP,34508397,26362,87160,EF,0
NF-0000085,2026-06-24T01:49:00,branch-jaipur,branch-nagpur,10.1.10.1,10.1.13.1,52191,443,TCP,HTTPS,37295785,73272,77312,CS0,0
NF-0000086,2026-06-24T01:57:00,branch-bhopal,branch-jaipur,10.1.14.1,10.1.10.1,58235,161,UDP,SNMP,35768714,30108,47716,CS0,0
NF-0000087,2026-06-24T01:43:00,branch-kolkata,branch-guwahati,10.1.6.1,10.1.8.1,56391,3200,TCP,ERP-SAP,29817724,23552,59450,CS0,0
NF-0000088,2026-06-24T01:06:00,branch-pune,branch-kolkata,10.1.4.1,10.1.6.1,57140,123,UDP,NTP,7967501,8585,6169,CS0,0
NF-0000089,2026-06-24T01:03:00,branch-jaipur,dc-mumbai,10.1.10.1,10.0.0.2,58096,389,TCP,LDAP,16275096,18307,76339,CS0,0
NF-0000090,2026-06-24T01:33:00,branch-chandigarh,branch-jaipur,10.1.9.1,10.1.10.1,64606,161,UDP,SNMP,31094520,35374,34656,CS0,0
NF-0000091,2026-06-24T01:50:00,branch-bhopal,branch-lucknow,10.1.14.1,10.1.11.1,63799,179,TCP,BGP,38810417,38236,86143,CS0,0
NF-0000092,2026-06-24T01:32:00,branch-nagpur,branch-kochi,10.1.13.1,10.1.12.1,61746,161,UDP,SNMP,9171046,19471,69537,CS0,0
NF-0000093,2026-06-24T01:38:00,branch-nagpur,branch-bhopal,10.1.13.1,10.1.14.1,64221,389,TCP,LDAP,8134688,10092,24707,CS0,0
NF-0000094,2026-06-24T01:44:00,branch-guwahati,branch-bhubaneswar,10.1.8.1,10.1.7.1,62347,514,UDP,Syslog,29120566,22094,14606,CS0,0
NF-0000095,2026-06-24T01:35:00,branch-guwahati,branch-pune,10.1.8.1,10.1.4.1,53317,161,UDP,SNMP,2967879,3215,80656,CS0,0
NF-0000096,2026-06-24T01:19:00,branch-kolkata,hub-delhi,10.1.6.1,10.0.0.1,53511,8801,UDP,Video-Conf,2143852,1581,90687,AF41,0
NF-0000097,2026-06-24T01:38:00,branch-jaipur,branch-hyderabad,10.1.10.1,10.1.3.1,52336,389,TCP,LDAP,945427,920,71805,CS0,0
NF-0000098,2026-06-24T01:29:00,branch-guwahati,branch-ahmedabad,10.1.8.1,10.1.5.1,53143,5060,UDP,VoIP-RTP,35964801,45815,97081,EF,0
NF-0000099,2026-06-24T01:39:00,branch-chennai,hub-delhi,10.1.2.1,10.0.0.1,52410,53,UDP,DNS,2923430,3403,78942,CS0,0
NF-0000100,2026-06-24T01:17:00,branch-ahmedabad,branch-kolkata,10.1.5.1,10.1.6.1,53872,21,TCP,FTP-Backup,39310959,40318,61569,CS0,0
NF-0000101,2026-06-24T01:34:00,hub-delhi,branch-jaipur,10.0.0.1,10.1.10.1,60954,443,TCP,HTTPS,22200706,17831,41796,CS0,0
NF-0000102,2026-06-24T02:16:00,branch-guwahati,hub-delhi,10.1.8.1,10.0.0.1,51196,22,TCP,SSH,33837342,25403,107317,CS0,0
NF-0000103,2026-06-24T02:52:00,branch-hyderabad,branch-bhopal,10.1.3.1,10.1.14.1,54505,3200,TCP,ERP-SAP,49053161,103487,110869,CS0,0
NF-0000104,2026-06-24T02:38:00,branch-chandigarh,branch-kolkata,10.1.9.1,10.1.6.1,52342,514,UDP,Syslog,38571811,57569,69130,CS0,0
NF-0000105,2026-06-24T02:08:00,branch-jaipur,branch-chandigarh,10.1.10.1,10.1.9.1,59146,53,UDP,DNS,425977,614,21345,CS0,0
NF-0000106,2026-06-24T02:41:00,branch-ahmedabad,branch-kochi,10.1.5.1,10.1.12.1,62315,161,UDP,SNMP,3809029,4113,88902,CS0,0
NF-0000107,2026-06-24T02:55:00,branch-lucknow,branch-pune,10.1.11.1,10.1.4.1,54724,389,TCP,LDAP,14009276,11501,39965,CS0,0
NF-0000108,2026-06-24T02:23:00,branch-kochi,branch-ahmedabad,10.1.12.1,10.1.5.1,59679,53,UDP,DNS,14447702,10371,88874,CS0,0
NF-0000109,2026-06-24T02:52:00,branch-hyderabad,branch-chandigarh,10.1.3.1,10.1.9.1,58459,5060,UDP,VoIP-RTP,6031957,5380,74613,EF,0
NF-0000110,2026-06-24T02:41:00,branch-ahmedabad,branch-bhubaneswar,10.1.5.1,10.1.7.1,56873,123,UDP,NTP,16444269,30339,81050,CS0,0
NF-0000111,2026-06-24T02:49:00,branch-bhubaneswar,branch-hyderabad,10.1.7.1,10.1.3.1,54405,21,TCP,FTP-Backup,2758054,2438,111633,CS0,0
NF-0000112,2026-06-24T02:54:00,branch-lucknow,branch-kochi,10.1.11.1,10.1.12.1,55981,161,UDP,SNMP,48788185,67761,85930,CS0,0
NF-0000113,2026-06-24T02:06:00,hub-delhi,branch-bhubaneswar,10.0.0.1,10.1.7.1,62931,3200,TCP,ERP-SAP,47238926,104510,106164,CS0,0
NF-0000114,2026-06-24T02:14:00,hub-delhi,branch-chennai,10.0.0.1,10.1.2.1,62062,123,UDP,NTP,4464342,3574,42721,CS0,0
NF-0000115,2026-06-24T02:39:00,branch-bhopal,branch-guwahati,10.1.14.1,10.1.8.1,55658,53,UDP,DNS,46850923,42903,14399,CS0,0
NF-0000116,2026-06-24T02:02:00,branch-guwahati,branch-bhubaneswar,10.1.8.1,10.1.7.1,59751,161,UDP,SNMP,33735126,33533,85998,CS0,0
NF-0000117,2026-06-24T02:39:00,branch-guwahati,dc-mumbai,10.1.8.1,10.0.0.2,59095,389,TCP,LDAP,37299142,51948,96115,CS0,0
NF-0000118,2026-06-24T02:30:00,dc-mumbai,hub-delhi,10.0.0.2,10.0.0.1,52079,514,UDP,Syslog,34533836,41357,71709,CS0,0
NF-0000119,2026-06-24T02:36:00,hub-delhi,branch-jaipur,10.0.0.1,10.1.10.1,55789,21,TCP,FTP-Backup,39513457,32072,37368,CS0,0
NF-0000120,2026-06-24T02:10:00,branch-hyderabad,branch-bhopal,10.1.3.1,10.1.14.1,52623,3200,TCP,ERP-SAP,30957529,45061,48551,CS0,0
NF-0000121,2026-06-24T02:02:00,branch-chennai,branch-lucknow,10.1.2.1,10.1.11.1,60364,389,TCP,LDAP,20074964,45938,114256,CS0,1
NF-0000122,2026-06-24T02:08:00,dc-mumbai,branch-kolkata,10.0.0.2,10.1.6.1,56156,389,TCP,LDAP,3235854,2871,76529,CS0,0
NF-0000123,2026-06-24T02:49:00,branch-hyderabad,branch-chennai,10.1.3.1,10.1.2.1,51602,21,TCP,FTP-Backup,20642674,48343,112092,CS0,0
NF-0000124,2026-06-24T02:50:00,hub-delhi,branch-bhubaneswar,10.0.0.1,10.1.7.1,64241,179,TCP,BGP,3803120,5010,36269,CS0,0
NF-0000125,2026-06-24T02:56:00,branch-kochi,branch-jaipur,10.1.12.1,10.1.10.1,53736,161,UDP,SNMP,36593800,41678,111906,CS0,0
NF-0000126,2026-06-24T02:57:00,branch-pune,branch-jaipur,10.1.4.1,10.1.10.1,64500,179,TCP,BGP,43124989,47494,82625,CS0,0
NF-0000127,2026-06-24T02:04:00,branch-bhopal,branch-guwahati,10.1.14.1,10.1.8.1,51085,161,UDP,SNMP,15781853,15087,51065,CS0,0
NF-0000128,2026-06-24T02:16:00,branch-chandigarh,branch-bhopal,10.1.9.1,10.1.14.1,65157,443,TCP,HTTPS,34449420,39280,57014,CS0,0
NF-0000129,2026-06-24T02:17:00,branch-bengaluru,branch-pune,10.1.1.1,10.1.4.1,56953,3200,TCP,ERP-SAP,44078712,94997,84685,CS0,0
NF-0000130,2026-06-24T02:29:00,branch-pune,branch-lucknow,10.1.4.1,10.1.11.1,59357,179,TCP,BGP,26917372,39759,48428,CS0,0
NF-0000131,2026-06-24T02:55:00,branch-chennai,branch-kolkata,10.1.2.1,10.1.6.1,62313,5060,UDP,VoIP-RTP,7109811,6118,103277,EF,1
NF-0000132,2026-06-24T02:04:00,branch-guwahati,dc-mumbai,10.1.8.1,10.0.0.2,52086,161,UDP,SNMP,28267040,25838,115066,CS0,0
NF-0000133,2026-06-24T02:07:00,branch-lucknow,hub-delhi,10.1.11.1,10.0.0.1,60097,389,TCP,LDAP,46193738,48934,85658,CS0,0
NF-0000134,2026-06-24T02:54:00,branch-hyderabad,branch-pune,10.1.3.1,10.1.4.1,60504,179,TCP,BGP,13546253,27201,75632,CS0,0
NF-0000135,2026-06-24T02:47:00,hub-delhi,branch-kochi,10.0.0.1,10.1.12.1,53068,3200,TCP,ERP-SAP,35918674,26845,99139,CS0,0
NF-0000136,2026-06-24T02:53:00,branch-kochi,branch-ahmedabad,10.1.12.1,10.1.5.1,62762,161,UDP,SNMP,35177437,31662,59670,CS0,0
NF-0000137,2026-06-24T02:16:00,branch-guwahati,branch-lucknow,10.1.8.1,10.1.11.1,62021,123,UDP,NTP,39869010,32546,27372,CS0,0
NF-0000138,2026-06-24T02:44:00,branch-chennai,branch-bengaluru,10.1.2.1,10.1.1.1,49446,3200,TCP,ERP-SAP,43786624,44589,33479,CS0,1
NF-0000139,2026-06-24T02:45:00,branch-kochi,branch-jaipur,10.1.12.1,10.1.10.1,55460,53,UDP,DNS,35047251,38471,33756,CS0,0
NF-0000140,2026-06-24T02:35:00,branch-kochi,branch-hyderabad,10.1.12.1,10.1.3.1,56148,514,UDP,Syslog,18754693,31733,41630,CS0,0
NF-0000141,2026-06-24T02:33:00,branch-jaipur,branch-chennai,10.1.10.1,10.1.2.1,50622,3200,TCP,ERP-SAP,4908456,8153,35865,CS0,0
NF-0000142,2026-06-24T02:05:00,branch-nagpur,branch-jaipur,10.1.13.1,10.1.10.1,63951,53,UDP,DNS,35620653,39273,2309,CS0,0
NF-0000143,2026-06-24T02:34:00,branch-bhopal,branch-jaipur,10.1.14.1,10.1.10.1,49623,53,UDP,DNS,16120932,15108,26415,CS0,0
NF-0000144,2026-06-24T02:36:00,hub-delhi,branch-ahmedabad,10.0.0.1,10.1.5.1,55350,22,TCP,SSH,39450078,65206,5605,CS0,0
NF-0000145,2026-06-24T02:01:00,branch-pune,branch-kochi,10.1.4.1,10.1.12.1,55938,179,TCP,BGP,49589720,39545,20470,CS0,0
NF-0000146,2026-06-24T03:02:00,branch-bhubaneswar,branch-ahmedabad,10.1.7.1,10.1.5.1,63279,123,UDP,NTP,17649416,31915,43222,CS0,0
NF-0000147,2026-06-24T03:26:00,hub-delhi,dc-mumbai,10.0.0.1,10.0.0.2,55025,21,TCP,FTP-Backup,31871702,33870,12088,CS0,0
NF-0000148,2026-06-24T03:30:00,dc-mumbai,branch-nagpur,10.0.0.2,10.1.13.1,57460,22,TCP,SSH,45437464,58178,80769,CS0,0
NF-0000149,2026-06-24T03:52:00,branch-bhubaneswar,branch-bhopal,10.1.7.1,10.1.14.1,59318,389,TCP,LDAP,23706710,36304,74426,CS0,0
NF-0000150,2026-06-24T03:51:00,branch-pune,branch-nagpur,10.1.4.1,10.1.13.1,58043,514,UDP,Syslog,24359316,34260,12614,CS0,0
NF-0000151,2026-06-24T03:22:00,branch-bhopal,branch-chandigarh,10.1.14.1,10.1.9.1,63357,443,TCP,HTTPS,45298038,36797,83355,CS0,0
NF-0000152,2026-06-24T03:09:00,branch-kochi,branch-chennai,10.1.12.1,10.1.2.1,52192,514,UDP,Syslog,11501956,10306,48158,CS0,0
NF-0000153,2026-06-24T03:07:00,hub-delhi,branch-kochi,10.0.0.1,10.1.12.1,61227,8801,UDP,Video-Conf,29880303,38755,114678,AF41,0
NF-0000154,2026-06-24T03:08:00,branch-bengaluru,branch-ahmedabad,10.1.1.1,10.1.5.1,61946,3200,TCP,ERP-SAP,29562511,39841,90897,CS0,0
NF-0000155,2026-06-24T03:26:00,branch-ahmedabad,branch-hyderabad,10.1.5.1,10.1.3.1,60841,5060,UDP,VoIP-RTP,5833388,4446,88588,EF,0
NF-0000156,2026-06-24T03:55:00,branch-jaipur,branch-ahmedabad,10.1.10.1,10.1.5.1,52947,514,UDP,Syslog,21477201,25446,102953,CS0,0
NF-0000157,2026-06-24T03:04:00,branch-nagpur,branch-lucknow,10.1.13.1,10.1.11.1,60049,179,TCP,BGP,49333378,79569,101288,CS0,0
NF-0000158,2026-06-24T03:17:00,branch-nagpur,branch-bengaluru,10.1.13.1,10.1.1.1,59988,123,UDP,NTP,26379639,36285,71940,CS0,0
NF-0000159,2026-06-24T03:06:00,branch-ahmedabad,branch-guwahati,10.1.5.1,10.1.8.1,59627,53,UDP,DNS,43304628,59484,22865,CS0,0
NF-0000160,2026-06-24T03:23:00,branch-pune,branch-guwahati,10.1.4.1,10.1.8.1,49264,3200,TCP,ERP-SAP,1582493,3367,19339,CS0,0
NF-0000161,2026-06-24T03:51:00,branch-ahmedabad,branch-bhubaneswar,10.1.5.1,10.1.7.1,53837,389,TCP,LDAP,28673880,35269,59696,CS0,0
NF-0000162,2026-06-24T03:09:00,branch-ahmedabad,branch-kochi,10.1.5.1,10.1.12.1,57442,5060,UDP,VoIP-RTP,11394741,13981,93801,EF,0
NF-0000163,2026-06-24T03:34:00,branch-lucknow,dc-mumbai,10.1.11.1,10.0.0.2,55592,5060,UDP,VoIP-RTP,39651121,36112,47244,EF,0
NF-0000164,2026-06-24T03:56:00,hub-delhi,branch-nagpur,10.0.0.1,10.1.13.1,49621,8801,UDP,Video-Conf,44544075,34476,93049,AF41,0
NF-0000165,2026-06-24T03:44:00,branch-kochi,branch-ahmedabad,10.1.12.1,10.1.5.1,52985,514,UDP,Syslog,45072324,56410,16890,CS0,0
NF-0000166,2026-06-24T03:25:00,branch-nagpur,branch-jaipur,10.1.13.1,10.1.10.1,58851,53,UDP,DNS,18885368,21583,60926,CS0,0
