event_id,timestamp,site_id,severity,facility,message,fault_type,correlated_scenario
SLOG-000011,2026-06-24T02:41:55.517816,branch-chennai,WARN,LOCAL7,"%IP-4-RTCHANGE: Route table instability detected, 364 routes flapping",congestion_buildup,scenario-1
SLOG-000012,2026-06-24T02:53:18.715222,branch-chennai,WARN,LOCAL7,%MPLS-4-LDP_CONGESTION: LDP label space pressure on GigabitEthernet0/0,congestion_buildup,scenario-1
SLOG-000004,2026-06-24T02:54:07.367814,branch-chennai,ERROR,LOCAL7,"%QOS-4-POLICY_BREACH: VoIP traffic dropped on GigabitEthernet0/0, queue utilization 91%",congestion_buildup,scenario-1
SLOG-000006,2026-06-24T03:08:28.971498,branch-chennai,ERROR,LOCAL7,"%QOS-4-POLICY_BREACH: VoIP traffic dropped on GigabitEthernet0/1, queue utilization 95%",congestion_buildup,scenario-1
SLOG-000018,2026-06-24T03:12:34.484865,branch-chennai,WARN,LOCAL7,"%IP-4-RTCHANGE: Route table instability detected, 169 routes flapping",congestion_buildup,scenario-1
SLOG-000008,2026-06-24T03:13:09.929604,branch-chennai,WARN,LOCAL7,%INTERFACE-3-QUEUE_LIMIT: Interface Tunnel1 output queue depth 83% of max,congestion_buildup,scenario-1
SLOG-000016,2026-06-24T03:14:37.040359,branch-chennai,WARN,LOCAL7,"%IP-4-RTCHANGE: Route table instability detected, 244 routes flapping",congestion_buildup,scenario-1
SLOG-000002,2026-06-24T03:18:50.428058,branch-chennai,WARN,LOCAL7,%INTERFACE-3-QUEUE_LIMIT: Interface Tunnel1 output queue depth 88% of max,congestion_buildup,scenario-1
SLOG-000010,2026-06-24T03:28:58.413424,branch-chennai,WARN,LOCAL7,%INTERFACE-3-QUEUE_LIMIT: Interface Loopback0 output queue depth 80% of max,congestion_buildup,scenario-1
SLOG-000003,2026-06-24T03:29:00.645149,branch-chennai,ERROR,LOCAL7,"%QOS-4-POLICY_BREACH: VoIP traffic dropped on Tunnel1, queue utilization 74%",congestion_buildup,scenario-1
SLOG-000377,2026-06-24T03:43:03,branch-kochi,DEBUG,LOCAL7,%SNMP-6-AUTHFAIL: Authentication failure for SNMP from 10.1.12.1,normal,none
SLOG-000378,2026-06-24T03:43:31,branch-bhopal,DEBUG,LOCAL7,%SNMP-6-AUTHFAIL: Authentication failure for SNMP from 10.1.14.1,normal,none
SLOG-000376,2026-06-24T03:51:53,branch-chennai,INFO,LOCAL7,%BGP-5-ADJCHANGE: neighbor 10.1.2.1 Up,normal,none
SLOG-000379,2026-06-24T04:25:55,branch-chennai,DEBUG,LOCAL7,%SNMP-6-AUTHFAIL: Authentication failure for SNMP from 10.1.2.1,normal,none
SLOG-000380,2026-06-24T04:43:53,branch-chennai,INFO,LOCAL7,"%OSPF-5-ADJCHG: Process 1, Nbr 10.1.2.1 on TenGigabitEthernet0/0 from LOADING to FULL",normal,none
SLOG-000388,2026-06-24T05:05:06,branch-chandigarh,DEBUG,LOCAL7,%SNMP-6-AUTHFAIL: Authentication failure for SNMP from 10.1.9.1,normal,none
SLOG-000386,2026-06-24T05:18:34,branch-guwahati,INFO,LOCAL7,"%LINK-3-UPDOWN: Interface GigabitEthernet0/0, changed state to up",normal,none
SLOG-000384,2026-06-24T05:31:03,branch-jaipur,DEBUG,LOCAL7,%SNMP-6-AUTHFAIL: Authentication failure for SNMP from 10.1.10.1,normal,none
SLOG-000025,2026-06-24T05:33:53.423799,hub-delhi,WARN,LOCAL7,%BGP-4-MAXPFX: Maximum prefix limit approaching on 10.0.0.1,bgp_route_flap,scenario-2
SLOG-000381,2026-06-24T05:35:13,branch-kolkata,INFO,LOCAL7,%SYS-5-CONFIG_I: Configured from console by admin,normal,none
SLOG-000021,2026-06-24T05:36:37.359333,hub-delhi,ERROR,LOCAL7,"%BGP-3-NOTIFICATION: BGP neighbor 10.0.0.1 Down, hold timer expired",bgp_route_flap,scenario-2
SLOG-000026,2026-06-24T05:37:17.604205,hub-delhi,WARN,LOCAL7,%BGP-4-MAXPFX: Maximum prefix limit approaching on 10.0.0.1,bgp_route_flap,scenario-2
SLOG-000027,2026-06-24T05:38:27.031575,hub-delhi,WARN,LOCAL7,"%BGP-4-DAMP: Route 10.18.0.0/30 dampened, penalty 3252",bgp_route_flap,scenario-2
SLOG-000024,2026-06-24T05:45:30.037514,hub-delhi,ERROR,LOCAL7,%BGP-3-ADJCHANGE: neighbor 10.0.0.1 Down BGP Notification sent,bgp_route_flap,scenario-2
SLOG-000019,2026-06-24T05:47:10.544588,hub-delhi,WARN,LOCAL7,%BGP-4-MAXPFX: Maximum prefix limit approaching on 10.0.0.1,bgp_route_flap,scenario-2
SLOG-000382,2026-06-24T05:49:02,dc-mumbai,INFO,LOCAL7,%BGP-5-ADJCHANGE: neighbor 10.0.0.2 Up,normal,none
SLOG-000385,2026-06-24T05:50:32,branch-bengaluru,INFO,LOCAL7,%SYS-5-CONFIG_I: Configured from console by admin,normal,none
SLOG-000023,2026-06-24T05:53:16.656220,hub-delhi,INFO,LOCAL7,%BGP-5-ADJCHANGE: neighbor 10.0.0.1 Up,bgp_route_flap,scenario-2
SLOG-000387,2026-06-24T05:54:32,branch-jaipur,INFO,LOCAL7,"%LINK-3-UPDOWN: Interface GigabitEthernet0/1, changed state to up",normal,none
SLOG-000383,2026-06-24T05:55:44,branch-pune,INFO,LOCAL7,"%LINK-3-UPDOWN: Interface GigabitEthernet0/2, changed state to up",normal,none
SLOG-000022,2026-06-24T05:57:18.798695,hub-delhi,INFO,LOCAL7,%BGP-5-ADJCHANGE: neighbor 10.0.0.1 Up,bgp_route_flap,scenario-2
SLOG-000020,2026-06-24T05:58:11.355048,hub-delhi,ERROR,LOCAL7,%BGP-3-ADJCHANGE: neighbor 10.0.0.1 Down BGP Notification sent,bgp_route_flap,scenario-2
SLOG-000394,2026-06-24T06:02:33,branch-bengaluru,INFO,LOCAL7,%BGP-5-ADJCHANGE: neighbor 10.1.1.1 Up,normal,none
SLOG-000389,2026-06-24T06:05:04,branch-chandigarh,INFO,LOCAL7,"%LINK-3-UPDOWN: Interface Tunnel0, changed state to up",normal,none
SLOG-000393,2026-06-24T06:09:53,branch-kolkata,DEBUG,LOCAL7,%SNMP-6-AUTHFAIL: Authentication failure for SNMP from 10.1.6.1,normal,none
SLOG-000392,2026-06-24T06:14:31,dc-mumbai,DEBUG,LOCAL7,%SNMP-6-AUTHFAIL: Authentication failure for SNMP from 10.0.0.2,normal,none
SLOG-000391,2026-06-24T06:16:11,branch-bengaluru,DEBUG,LOCAL7,%SNMP-6-AUTHFAIL: Authentication failure for SNMP from 10.1.1.1,normal,none
SLOG-000396,2026-06-24T06:25:52,branch-bhopal,DEBUG,LOCAL7,%SNMP-6-AUTHFAIL: Authentication failure for SNMP from 10.1.14.1,normal,none
SLOG-000390,2026-06-24T06:40:08,branch-kolkata,INFO,LOCAL7,%BGP-5-ADJCHANGE: neighbor 10.1.6.1 Up,normal,none
SLOG-000395,2026-06-24T06:45:13,branch-bhubaneswar,INFO,LOCAL7,%SYS-5-CONFIG_I: Configured from console by admin,normal,none
SLOG-000397,2026-06-24T07:23:46,branch-bhubaneswar,INFO,LOCAL7,%SYS-5-CONFIG_I: Configured from console by admin,normal,none
SLOG-000399,2026-06-24T07:39:25,dc-mumbai,INFO,LOCAL7,%SYS-5-CONFIG_I: Configured from console by admin,normal,none
SLOG-000398,2026-06-24T07:49:43,dc-mumbai,INFO,LOCAL7,"%OSPF-5-ADJCHG: Process 1, Nbr 10.0.0.2 on TenGigabitEthernet0/0 from LOADING to FULL",normal,none
SLOG-000406,2026-06-24T08:00:05,branch-pune,INFO,LOCAL7,"%LINK-3-UPDOWN: Interface Loopback0, changed state to up",normal,none
SLOG-000032,2026-06-24T08:13:46.245044,branch-guwahati,WARN,LOCAL7,%MPLS-4-PATH_SWITCH: Traffic rerouted from primary to backup LSP,mpls_tunnel_degradation,scenario-3
SLOG-000046,2026-06-24T08:18:44.898170,branch-guwahati,WARN,LOCAL7,"%MPLS-4-TUNNEL_DEGRADE: LDP session 10.1.8.1 degraded, loss 86%",mpls_tunnel_degradation,scenario-3
SLOG-000401,2026-06-24T08:20:41,branch-chennai,INFO,LOCAL7,"%LINK-3-UPDOWN: Interface Tunnel0, changed state to up",normal,none
SLOG-000407,2026-06-24T08:21:59,branch-nagpur,INFO,LOCAL7,%SYS-5-CONFIG_I: Configured from console by admin,normal,none
SLOG-000403,2026-06-24T08:22:05,branch-chennai,INFO,LOCAL7,"%OSPF-5-ADJCHG: Process 1, Nbr 10.1.2.1 on GigabitEthernet0/2 from LOADING to FULL",normal,none
SLOG-000405,2026-06-24T08:23:15,branch-jaipur,INFO,LOCAL7,"%LINK-3-UPDOWN: Interface Tunnel1, changed state to up",normal,none
SLOG-000035,2026-06-24T08:26:03.771512,branch-guwahati,ERROR,LOCAL7,%VPN-3-TUNNEL_DOWN: GRE over IPSec tunnel Tunnel2 DOWN,mpls_tunnel_degradation,scenario-3
SLOG-000031,2026-06-24T08:26:49.347840,branch-guwahati,WARN,LOCAL7,%MPLS-4-PATH_SWITCH: Traffic rerouted from primary to backup LSP,mpls_tunnel_degradation,scenario-3
SLOG-000045,2026-06-24T08:27:34.986283,branch-guwahati,ERROR,LOCAL7,%IPSEC-3-REKEY_FAIL: IPSec SA rekey failed for tunnel Tunnel1,mpls_tunnel_degradation,scenario-3
SLOG-000400,2026-06-24T08:33:40,branch-nagpur,INFO,LOCAL7,%BGP-5-ADJCHANGE: neighbor 10.1.13.1 Up,normal,none
SLOG-000040,2026-06-24T08:38:37.971673,branch-guwahati,WARN,LOCAL7,"%MPLS-4-TUNNEL_DEGRADE: LDP session 10.1.8.1 degraded, loss 83%",mpls_tunnel_degradation,scenario-3
SLOG-000047,2026-06-24T08:46:09.505300,branch-guwahati,ERROR,LOCAL7,%IPSEC-3-REKEY_FAIL: IPSec SA rekey failed for tunnel Tunnel1,mpls_tunnel_degradation,scenario-3
SLOG-000034,2026-06-24T08:46:21.460804,branch-guwahati,ERROR,LOCAL7,%IPSEC-3-REKEY_FAIL: IPSec SA rekey failed for tunnel Tunnel3,mpls_tunnel_degradation,scenario-3
SLOG-000043,2026-06-24T08:48:28.648107,branch-guwahati,ERROR,LOCAL7,%VPN-3-TUNNEL_DOWN: GRE over IPSec tunnel Tunnel0 DOWN,mpls_tunnel_degradation,scenario-3
SLOG-000042,2026-06-24T08:54:29.862850,branch-guwahati,WARN,LOCAL7,%MPLS-4-PATH_SWITCH: Traffic rerouted from primary to backup LSP,mpls_tunnel_degradation,scenario-3
SLOG-000029,2026-06-24T08:56:12.329848,branch-guwahati,ERROR,LOCAL7,%IPSEC-3-REKEY_FAIL: IPSec SA rekey failed for tunnel Tunnel2,mpls_tunnel_degradation,scenario-3
SLOG-000404,2026-06-24T08:57:04,hub-delhi,INFO,LOCAL7,"%LINK-3-UPDOWN: Interface Tunnel1, changed state to up",normal,none
SLOG-000402,2026-06-24T08:58:28,branch-lucknow,DEBUG,LOCAL7,%SNMP-6-AUTHFAIL: Authentication failure for SNMP from 10.1.11.1,normal,none
SLOG-000041,2026-06-24T09:05:12.058518,branch-guwahati,ERROR,LOCAL7,%VPN-3-TUNNEL_DOWN: GRE over IPSec tunnel Tunnel0 DOWN,mpls_tunnel_degradation,scenario-3
SLOG-000039,2026-06-24T09:05:14.411972,branch-guwahati,ERROR,LOCAL7,%VPN-3-TUNNEL_DOWN: GRE over IPSec tunnel Tunnel1 DOWN,mpls_tunnel_degradation,scenario-3
SLOG-000033,2026-06-24T09:08:13.523374,branch-guwahati,WARN,LOCAL7,"%MPLS-4-TUNNEL_DEGRADE: LDP session 10.1.8.1 degraded, loss 84%",mpls_tunnel_degradation,scenario-3
SLOG-000408,2026-06-24T09:13:02,branch-bengaluru,INFO,LOCAL7,%BGP-5-ADJCHANGE: neighbor 10.1.1.1 Up,normal,none
SLOG-000410,2026-06-24T09:13:06,branch-nagpur,DEBUG,LOCAL7,%SNMP-6-AUTHFAIL: Authentication failure for SNMP from 10.1.13.1,normal,none
SLOG-000037,2026-06-24T09:30:25.881629,branch-guwahati,ERROR,LOCAL7,%IPSEC-3-REKEY_FAIL: IPSec SA rekey failed for tunnel Tunnel1,mpls_tunnel_degradation,scenario-3
SLOG-000028,2026-06-24T09:35:38.798471,branch-guwahati,WARN,LOCAL7,"%MPLS-4-TUNNEL_DEGRADE: LDP session 10.1.8.1 degraded, loss 70%",mpls_tunnel_degradation,scenario-3
SLOG-000044,2026-06-24T09:36:23.837560,branch-guwahati,ERROR,LOCAL7,%VPN-3-TUNNEL_DOWN: GRE over IPSec tunnel Tunnel1 DOWN,mpls_tunnel_degradation,scenario-3
SLOG-000036,2026-06-24T09:39:08.112448,branch-guwahati,ERROR,LOCAL7,%IPSEC-3-REKEY_FAIL: IPSec SA rekey failed for tunnel Tunnel3,mpls_tunnel_degradation,scenario-3
SLOG-000038,2026-06-24T09:47:47.599618,branch-guwahati,WARN,LOCAL7,%MPLS-4-PATH_SWITCH: Traffic rerouted from primary to backup LSP,mpls_tunnel_degradation,scenario-3
SLOG-000048,2026-06-24T09:49:04.464180,branch-guwahati,ERROR,LOCAL7,%VPN-3-TUNNEL_DOWN: GRE over IPSec tunnel Tunnel1 DOWN,mpls_tunnel_degradation,scenario-3
SLOG-000409,2026-06-24T09:55:21,hub-delhi,INFO,LOCAL7,"%LINK-3-UPDOWN: Interface GigabitEthernet0/0, changed state to up",normal,none
SLOG-000030,2026-06-24T09:56:19.583843,branch-guwahati,WARN,LOCAL7,"%MPLS-4-TUNNEL_DEGRADE: LDP session 10.1.8.1 degraded, loss 83%",mpls_tunnel_degradation,scenario-3
SLOG-000411,2026-06-24T09:57:05,dc-mumbai,INFO,LOCAL7,%BGP-5-ADJCHANGE: neighbor 10.0.0.2 Up,normal,none
SLOG-000412,2026-06-24T10:20:19,branch-kolkata,INFO,LOCAL7,%BGP-5-ADJCHANGE: neighbor 10.1.6.1 Up,normal,none
SLOG-000413,2026-06-24T10:30:28,branch-ahmedabad,INFO,LOCAL7,%SYS-5-CONFIG_I: Configured from console by admin,normal,none
SLOG-000414,2026-06-24T10:48:11,branch-pune,INFO,LOCAL7,%BGP-5-ADJCHANGE: neighbor 10.1.4.1 Up,normal,none
SLOG-000417,2026-06-24T10:48:27,branch-ahmedabad,DEBUG,LOCAL7,%SNMP-6-AUTHFAIL: Authentication failure for SNMP from 10.1.5.1,normal,none
SLOG-000415,2026-06-24T10:55:32,dc-mumbai,INFO,LOCAL7,"%OSPF-5-ADJCHG: Process 1, Nbr 10.0.0.2 on Loopback0 from LOADING to FULL",normal,none
SLOG-000416,2026-06-24T10:56:12,branch-bhubaneswar,INFO,LOCAL7,"%LINK-3-UPDOWN: Interface Tunnel1, changed state to up",normal,none
SLOG-000418,2026-06-24T10:59:44,branch-hyderabad,INFO,LOCAL7,%SYS-5-CONFIG_I: Configured from console by admin,normal,none
SLOG-000049,2026-06-24T11:01:11.033793,branch-bhubaneswar,CRIT,LOCAL7,%SLA-2-BREACH: Packet loss 88% exceeds SLA threshold of 1%,packet_loss_spike,scenario-4
SLOG-000052,2026-06-24T11:02:51.295138,branch-bhubaneswar,CRIT,LOCAL7,%SLA-2-BREACH: Packet loss 71% exceeds SLA threshold of 1%,packet_loss_spike,scenario-4
SLOG-000054,2026-06-24T11:04:13.009900,branch-bhubaneswar,WARN,LOCAL7,"%BFD-4-ECHO_FAIL: BFD echo failure on 10.1.7.1, loss detected",packet_loss_spike,scenario-4
SLOG-000420,2026-06-24T11:04:15,branch-pune,INFO,LOCAL7,%BGP-5-ADJCHANGE: neighbor 10.1.4.1 Up,normal,none
SLOG-000058,2026-06-24T11:04:29.397290,branch-bhubaneswar,CRIT,LOCAL7,%SLA-2-BREACH: Packet loss 88% exceeds SLA threshold of 1%,packet_loss_spike,scenario-4
SLOG-000423,2026-06-24T11:04:55,branch-chandigarh,INFO,LOCAL7,%SYS-5-CONFIG_I: Configured from console by admin,normal,none
SLOG-000061,2026-06-24T11:05:00.383707,branch-bhubaneswar,WARN,LOCAL7,"%BFD-4-ECHO_FAIL: BFD echo failure on 10.1.7.1, loss detected",packet_loss_spike,scenario-4
SLOG-000065,2026-06-24T11:08:15.679182,branch-bhubaneswar,WARN,LOCAL7,"%BFD-4-ECHO_FAIL: BFD echo failure on 10.1.7.1, loss detected",packet_loss_spike,scenario-4
SLOG-000063,2026-06-24T11:15:40.597691,branch-bhubaneswar,WARN,LOCAL7,"%BFD-4-ECHO_FAIL: BFD echo failure on 10.1.7.1, loss detected",packet_loss_spike,scenario-4
SLOG-000051,2026-06-24T11:16:25.764553,branch-bhubaneswar,ERROR,LOCAL7,%INTERFACE-3-EXCESSIVE_LOSS: Packet loss 81% on Tunnel0,packet_loss_spike,scenario-4
SLOG-000067,2026-06-24T11:18:36.432076,branch-bhubaneswar,WARN,LOCAL7,"%BFD-4-ECHO_FAIL: BFD echo failure on 10.1.7.1, loss detected",packet_loss_spike,scenario-4
SLOG-000055,2026-06-24T11:19:07.821920,branch-bhubaneswar,ERROR,LOCAL7,%INTERFACE-3-EXCESSIVE_LOSS: Packet loss 88% on GigabitEthernet0/0,packet_loss_spike,scenario-4
SLOG-000053,2026-06-24T11:19:10.496880,branch-bhubaneswar,ERROR,LOCAL7,%INTERFACE-3-EXCESSIVE_LOSS: Packet loss 76% on TenGigabitEthernet0/0,packet_loss_spike,scenario-4
SLOG-000424,2026-06-24T11:20:24,branch-lucknow,INFO,LOCAL7,%BGP-5-ADJCHANGE: neighbor 10.1.11.1 Up,normal,none
SLOG-000057,2026-06-24T11:24:46.522903,branch-bhubaneswar,CRIT,LOCAL7,%SLA-2-BREACH: Packet loss 80% exceeds SLA threshold of 1%,packet_loss_spike,scenario-4
SLOG-000422,2026-06-24T11:29:27,branch-bengaluru,INFO,LOCAL7,"%LINK-3-UPDOWN: Interface TenGigabitEthernet0/0, changed state to up",normal,none
SLOG-000050,2026-06-24T11:29:36.790386,branch-bhubaneswar,CRIT,LOCAL7,%SLA-2-BREACH: Packet loss 78% exceeds SLA threshold of 1%,packet_loss_spike,scenario-4
SLOG-000068,2026-06-24T11:30:55.803210,branch-bhubaneswar,WARN,LOCAL7,"%BFD-4-ECHO_FAIL: BFD echo failure on 10.1.7.1, loss detected",packet_loss_spike,scenario-4
SLOG-000060,2026-06-24T11:32:56.495596,branch-bhubaneswar,WARN,LOCAL7,"%BFD-4-ECHO_FAIL: BFD echo failure on 10.1.7.1, loss detected",packet_loss_spike,scenario-4
SLOG-000064,2026-06-24T11:33:12.093621,branch-bhubaneswar,WARN,LOCAL7,"%BFD-4-ECHO_FAIL: BFD echo failure on 10.1.7.1, loss detected",packet_loss_spike,scenario-4
SLOG-000056,2026-06-24T11:34:03.083662,branch-bhubaneswar,CRIT,LOCAL7,%SLA-2-BREACH: Packet loss 87% exceeds SLA threshold of 1%,packet_loss_spike,scenario-4
SLOG-000066,2026-06-24T11:35:04.999449,branch-bhubaneswar,ERROR,LOCAL7,%INTERFACE-3-EXCESSIVE_LOSS: Packet loss 80% on GigabitEthernet0/0,packet_loss_spike,scenario-4
SLOG-000059,2026-06-24T11:37:21.602866,branch-bhubaneswar,WARN,LOCAL7,"%BFD-4-ECHO_FAIL: BFD echo failure on 10.1.7.1, loss detected",packet_loss_spike,scenario-4
SLOG-000421,2026-06-24T11:40:11,branch-bengaluru,INFO,LOCAL7,"%OSPF-5-ADJCHG: Process 1, Nbr 10.1.1.1 on TenGigabitEthernet0/0 from LOADING to FULL",normal,none
SLOG-000069,2026-06-24T11:40:46.031182,branch-bhubaneswar,ERROR,LOCAL7,%INTERFACE-3-EXCESSIVE_LOSS: Packet loss 91% on Tunnel0,packet_loss_spike,scenario-4
SLOG-000062,2026-06-24T11:41:44.528878,branch-bhubaneswar,CRIT,LOCAL7,%SLA-2-BREACH: Packet loss 73% exceeds SLA threshold of 1%,packet_loss_spike,scenario-4
SLOG-000419,2026-06-24T11:58:13,branch-bengaluru,DEBUG,LOCAL7,%SNMP-6-AUTHFAIL: Authentication failure for SNMP from 10.1.1.1,normal,none
SLOG-000425,2026-06-24T12:14:52,branch-kolkata,INFO,LOCAL7,"%OSPF-5-ADJCHG: Process 1, Nbr 10.1.6.1 on Tunnel1 from LOADING to FULL",normal,none
SLOG-000426,2026-06-24T12:25:05,branch-nagpur,INFO,LOCAL7,%SYS-5-CONFIG_I: Configured from console by admin,normal,none
SLOG-000428,2026-06-24T12:31:55,branch-chennai,INFO,LOCAL7,%BGP-5-ADJCHANGE: neighbor 10.1.2.1 Up,normal,none
SLOG-000427,2026-06-24T12:58:39,branch-ahmedabad,INFO,LOCAL7,%BGP-5-ADJCHANGE: neighbor 10.1.5.1 Up,normal,none
SLOG-000433,2026-06-24T13:07:59,dc-mumbai,INFO,LOCAL7,%BGP-5-ADJCHANGE: neighbor 10.0.0.2 Up,normal,none
SLOG-000432,2026-06-24T13:08:16,branch-lucknow,DEBUG,LOCAL7,%SNMP-6-AUTHFAIL: Authentication failure for SNMP from 10.1.11.1,normal,none
SLOG-000434,2026-06-24T13:17:49,branch-lucknow,INFO,LOCAL7,"%LINK-3-UPDOWN: Interface TenGigabitEthernet0/0, changed state to up",normal,none
SLOG-000431,2026-06-24T13:36:29,branch-pune,INFO,LOCAL7,"%LINK-3-UPDOWN: Interface GigabitEthernet0/0, changed state to up",normal,none
SLOG-000435,2026-06-24T13:44:01,branch-ahmedabad,INFO,LOCAL7,%SYS-5-CONFIG_I: Configured from console by admin,normal,none
SLOG-000429,2026-06-24T13:56:42,branch-guwahati,INFO,LOCAL7,"%OSPF-5-ADJCHG: Process 1, Nbr 10.1.8.1 on GigabitEthernet0/2 from LOADING to FULL",normal,none
SLOG-000430,2026-06-24T13:58:57,branch-pune,DEBUG,LOCAL7,%SNMP-6-AUTHFAIL: Authentication failure for SNMP from 10.1.4.1,normal,none
SLOG-000442,2026-06-24T14:01:38,branch-ahmedabad,INFO,LOCAL7,%SYS-5-CONFIG_I: Configured from console by admin,normal,none
SLOG-000441,2026-06-24T14:31:57,dc-mumbai,INFO,LOCAL7,"%OSPF-5-ADJCHG: Process 1, Nbr 10.0.0.2 on Loopback0 from LOADING to FULL",normal,none
SLOG-000436,2026-06-24T14:31:58,branch-guwahati,INFO,LOCAL7,"%OSPF-5-ADJCHG: Process 1, Nbr 10.1.8.1 on Tunnel1 from LOADING to FULL",normal,none
SLOG-000437,2026-06-24T14:32:18,branch-bengaluru,DEBUG,LOCAL7,%SNMP-6-AUTHFAIL: Authentication failure for SNMP from 10.1.1.1,normal,none
SLOG-000438,2026-06-24T14:33:13,branch-pune,INFO,LOCAL7,%BGP-5-ADJCHANGE: neighbor 10.1.4.1 Up,normal,none
SLOG-000439,2026-06-24T14:33:37,branch-lucknow,DEBUG,LOCAL7,%SNMP-6-AUTHFAIL: Authentication failure for SNMP from 10.1.11.1,normal,none
SLOG-000440,2026-06-24T14:39:26,branch-jaipur,INFO,LOCAL7,%SYS-5-CONFIG_I: Configured from console by admin,normal,none
SLOG-000081,2026-06-24T14:50:34.894035,branch-bhubaneswar,WARN,LOCAL7,%INTERFACE-4-UTIL_HIGH: Interface TenGigabitEthernet0/0 utilization 81%,link_congestion,scenario-5
SLOG-000080,2026-06-24T14:51:19.654253,branch-kolkata,WARN,LOCAL7,"%QUEUE-4-TAIL_DROP: Tail drop enabled on Tunnel1, queue 90%",link_congestion,scenario-5
SLOG-000085,2026-06-24T14:59:09.443452,branch-kolkata,WARN,LOCAL7,%INTERFACE-4-UTIL_HIGH: Interface TenGigabitEthernet0/0 utilization 77%,link_congestion,scenario-5
SLOG-000446,2026-06-24T15:00:08,branch-chennai,INFO,LOCAL7,%BGP-5-ADJCHANGE: neighbor 10.1.2.1 Up,normal,none
SLOG-000078,2026-06-24T15:03:31.528367,branch-kolkata,WARN,LOCAL7,%INTERFACE-4-UTIL_HIGH: Interface GigabitEthernet0/0 utilization 91%,link_congestion,scenario-5
